"MONTH_ID","CATEGORY_ID","STATE_PROVINCE_ID","UNITS","SALES"
"Apr-11",-534,"(S/P);_IT",143,77423.45
"Apr-11",-534,"(S/P);_NL",96,57417.78
"Apr-11",-534,"(S/P);_PL",157,90379.35
"Apr-11",-534,"(S/P);_PT",133,75343.46
"Apr-11",-534,"(S/P);_RO",109,63327.3
"Apr-11",-534,"(S/P);_RU",116,61983.01
"Apr-11",-534,"ADDIS_ABABA_ET",115,75081.26
"Apr-11",-534,"ALAGOAS_BR",72,35974.43
"Apr-11",-534,"ALBERTA_CA",86,35691.82
"Apr-11",-534,"ALEXANDRIA_EG",138,77142.56
"Apr-11",-534,"ALMATY_KZ",62,32734.94
"Apr-11",-534,"AMAZONAS_BR",62,25940.21
"Apr-11",-534,"ANDHRA_PRADESH_IN",130,71534.02
"Apr-11",-534,"ANHUI_CN",188,132089.4
"Apr-11",-534,"ANTANANARIVO_MG",89,61946.37
"Apr-11",-534,"ANTIOQUIA_CO",128,64642.33
"Apr-11",-534,"ARAGUA_VE",78,50207.98
"Apr-11",-534,"AR_RIYAD_SA",151,81584.73
"Apr-11",-534,"BAHIA_BR",150,77478.01
"Apr-11",-534,"BAJA_CALIFORNIA_MX",59,41032.61
"Apr-11",-534,"BAMAKO_ML",91,35946.78
"Apr-11",-534,"BANGKOK_TH",156,107838.34
"Apr-11",-534,"BEIJING_CN",123,69243.65
"Apr-11",-534,"BELGRADE_CS",65,39845.88
"Apr-11",-534,"BIHAR_IN",85,61192.19
"Apr-11",-534,"BRAZZAVILLE_CG",47,34663.86
"Apr-11",-534,"BRITISH_COLUMBIA_CA",95,47801.98
"Apr-11",-534,"BUENOS_AIRES_AR",122,63559.39
"Apr-11",-534,"CAIRO_EG",135,78924.23
"Apr-11",-534,"CALIFORNIA_US",28,14709.04
"Apr-11",-534,"CAMPINAS_BR",123,61382.3
"Apr-11",-534,"CAPITAL_DISTRICT_VE",121,74005.04
"Apr-11",-534,"CAPITAL_GOVERNORATE_JO",56,35293.65
"Apr-11",-534,"CARABOBO_VE",85,48390.19
"Apr-11",-534,"CARIBBEAN_CO",83,45500.52
"Apr-11",-534,"CEARA_BR",141,95168.14
"Apr-11",-534,"CENTRE_CM",77,50086.45
"Apr-11",-534,"CHIHUAHUA_MX",95,47759.27
"Apr-11",-534,"CHITTAGONG_BD",161,84829.08
"Apr-11",-534,"CHONGQING_CN",154,87098.18
"Apr-11",-534,"CIUDAD_DE_LA_HABANA_CU",90,54106.8
"Apr-11",-534,"COAHUILA_MX",87,43895.14
"Apr-11",-534,"CORDOBA_AR",103,71035.74
"Apr-11",-534,"DAKAR_SN",72,40070.35
"Apr-11",-534,"DELHI_IN",117,61538.18
"Apr-11",-534,"DISTRITO_CAPITAL_CO",133,72789.83
"Apr-11",-534,"DISTRITO_CENTRAL_HN",61,29872.88
"Apr-11",-534,"DISTRITO_FEDERAL_BR",143,110091.4
"Apr-11",-534,"DISTRITO_FEDERAL_MX",113,66857.78
"Apr-11",-534,"EAST_JAVA_ID",119,48820.23
"Apr-11",-534,"ESPIRITO_SANTO_BR",99,50650.58
"Apr-11",-534,"FLORIDA_US",126,76729.24
"Apr-11",-534,"FUJIAN_CN",157,80139.63
"Apr-11",-534,"FUKUOKA_JP",116,51606.33
"Apr-11",-534,"GANSU_CN",129,72493.68
"Apr-11",-534,"GEORGIA_US",148,75386.42
"Apr-11",-534,"GIUZHOU_CN",96,62031.73
"Apr-11",-534,"GOIAS_BR",91,56509.42
"Apr-11",-534,"GRAN_ASUNCION_PY",79,46388.29
"Apr-11",-534,"GREATER_ACCRA_GH",82,42515.58
"Apr-11",-534,"GREAT_JAKARTA_ID",116,67828.18
"Apr-11",-534,"GUANAJUATO_MX",83,37279.29
"Apr-11",-534,"GUANGDONG_CN",113,67727.99
"Apr-11",-534,"GUANGXI_CN",79,39770.74
"Apr-11",-534,"GUANGXI_ZHUANG_CN",113,66369.5
"Apr-11",-534,"GUAYAS_EC",100,44647.06
"Apr-11",-534,"GUIZHOOU_CN",86,38348.42
"Apr-11",-534,"GUJARAT_IN",115,64000.95
"Apr-11",-534,"HARYANA_IN",92,49703.05
"Apr-11",-534,"HEBEI_CN",151,83734.76
"Apr-11",-534,"HEILONGJIANG_CN",144,71642.42
"Apr-11",-534,"HENAN_CN",166,89215.87
"Apr-11",-534,"HOKKAIDO_JP",84,51945.9
"Apr-11",-534,"HONG_KONG_SAR_CN",164,80394.54
"Apr-11",-534,"HUBEI_CN",120,68688.9
"Apr-11",-534,"HUNAN_CN",147,74830.8
"Apr-11",-534,"ILLINOIS_US",147,62347.32
"Apr-11",-534,"INNER_MONGOLIA_CN",80,40501.16
"Apr-11",-534,"IZMIR_TR",101,54609.85
"Apr-11",-534,"JALISCO_MX",164,90628.82
"Apr-11",-534,"JAMMU_IN",69,50745.8
"Apr-11",-534,"JHARKHAND_IN",91,53181.31
"Apr-11",-534,"JIANGSU_CN",110,60574.86
"Apr-11",-534,"JIANGXI_CN",100,63954.84
"Apr-11",-534,"JILIN_CN",154,76875.64
"Apr-11",-534,"KABUL_AF",161,86664.61
"Apr-11",-534,"KADUNA_NG",50,32208.97
"Apr-11",-534,"KANO_NG",127,75071.24
"Apr-11",-534,"KARNATAKA_IN",157,84897.11
"Apr-11",-534,"KATANGA_CD",75,32729.88
"Apr-11",-534,"KERALA_IN",84,31909.99
"Apr-11",-534,"KHARKIV_UA",63,30985.28
"Apr-11",-534,"KHULNA_BD",84,60472.11
"Apr-11",-534,"KINSHASA_CD",154,92383.27
"Apr-11",-534,"KUALA_LUMPUR_MY",67,35743.59
"Apr-11",-534,"KYOTO_JP",90,38878.58
"Apr-11",-534,"LAGOS_NG",113,58488.57
"Apr-11",-534,"LIAONING_CN",141,63674.48
"Apr-11",-534,"LIAOYANG_CN",80,46084.74
"Apr-11",-534,"LIMA_PE",140,84095.32
"Apr-11",-534,"LITTORAL_CM",82,48976.9
"Apr-11",-534,"LUANDA_AO",121,81714.1
"Apr-11",-534,"LUSAKA_ZM",84,48072.94
"Apr-11",-534,"MADHYA_PRADESH_IN",147,85330.6
"Apr-11",-534,"MAHARASHTRA_IN",140,75076.38
"Apr-11",-534,"MAKKAH_SA",61,36529.32
"Apr-11",-534,"MAPUTO_MZ",66,22721.81
"Apr-11",-534,"MASSACHUSETTS_US",108,59086.34
"Apr-11",-534,"MENDOZA_AR",52,34172.22
